,General ,,,,,,,,,Pricing / PCE or ROLL ,,,,,,,,Dimension Deflated,,,Dimension Inflated / Outer,,,Shipping Details,,,,,,Technical,,Comments
Amended P/N,GAIA P/N,SG P/N,Short Description,Description,Supplementary P/N,Product Category,Manual / Auto,Film Thickness (um),STATUS,C/P USD,DDP GBP,GAIA S/P,SG P/P,SG BB,PCS per CTN/Roll*,PCS / CTN / Rolls per pallet,MOQ Qty (CTN/pallet),Width (mm),Length (mm),Height (perforation) mm,Width (mm),Length (mm),Height (perforation) mm,CTN/Roll per pallet,CTN Width,CTN Length,CTN Height,NETT Weight (Kg) / CTN/ROLL,GROSS Weight (Kg) / CTN/ROLL,Cyclinder Sequence,Sealing Sequence,
GC3785U150,GC3785,IPGEN12013080,,AIR|SHIELD Q-Bags Universal #1 Dimensions: 120 x 130 x 80mm | Grade 150um incl printing,,AIR|SHIELD™,Manual,150,Active,0.173,,,,,,,,120,130,80,,,,,,,,,,,,
GC3876U150,GC3786,,,AIR|SHIELD Q-Bag Universal #2 Dims: 160x150x90mm | Grade 150um incl printing,,AIR|SHIELD™,Manual,150,Active,0.21,,,,,,,,150,160,90,,,,,,,,,,,,
GC3787U150,GC3787,,,AIR|SHIELD Q-Bags Universal #3 | Dims: 230x210x40mm | Grade 150um incl. printing,,AIR|SHIELD™,Manual,150,Active,0.25,,,,,,,,210,230,40,,,,,,,,,,,,
GC3792U150,GC3792,,,"AIR|SHIELD Q-Bags Universal #8 Dims"" 260x220x60mm | Grade 150um incl printing",,AIR|SHIELD™,Manual,150,Active,0.277,,,,,,,,220,260,60,,,,,,,,,,,,
,GC4000U150,IP2.5HDD,,AIR|SHIELD 2.5 HDD : Air chamber: 3cm | Style: Q type bag | material : ESD,,AIR|SHIELD™,Manual,150,Active,0.064,,0.16,,,1000,,1,,,,,,,,,,,,,,,
,GC4010B200,,,AIR|SHIELD AlO STD; Design: End Cap | Grade: 200um,,AIR|SHIELD™,Manual,200,Active,1.5,,3.2,,,60,,1,,,,,,,,63,35,20,17.4,18.4,,,
,GC4043U150,IPGEN1209525,,AIR|SHIELD Q-BagS Universal #6 Dimensions: 120x95x25mm | Q-Bag | Grade: 150um,,AIR|SHIELD™,Manual,,Active,0.076,,,,,,,,95,120,25,,,,,31,25,23,6.6,7.1,,,
GC4078U200,GC4078,IPDESKTOPSTD,,AIR|SHIELD Desktop STD - Retail | 200 micron,,AIR|SHIELD™,Manual,200,Active,0.48,,,,,150,,1,,,,,,,,,,,,,,,
,GC4118B150,IP3.5HDD,,AIR|SHEILD 3.5 HDD | Air chamber: 3cm | Grade 150um | Style: Q type bag | material : ESD,,AIR|SHIELD™,Manual,150,Active,0.085,,0.18,,,1000,,1,,,,,,,,27,27,55,16.1,17.1,,,
,GC4243B150,,,AIR|SHIELD Corner Cushion STD - Inflate Dims 250mm x 260mm | Grade 150um,,AIR|SHIELD™,Auto,150,Active,0.23,,0.4107,,,200*,,,,,,250,260,,,26,26,49,16.3,16.8,,,
,GC4322A150,,,AIR|SHIELD U-Type SML Cushion | Inflated Dims: 175mm x 300mm | Grade 150um ,,AIR|SHIELD™,Auto,150,Active,0.24,,0.536,,,250*,,,,,,175,300,,,27,27,55,17.7,18.7,,,
,GC4356B150,,,AIR|SHIELD U-Type LRG Cushion Inflated Dims: 360mm x 320mm | Grade 150um ,,AIR|SHIELD™,Auto,150,Active,0.4,,0.7333,,,150*,,,460,470,,320,360,,,27,27,55,16,17,,(1+14+1) +1,
GC4366B120,GC4366B,,,AIR|SHIELD Q-Bag STD: 240mm x 300mm | Grade 120um,,AIR|SHIELD™,Manual,120,Active,0.077,,0.135,,,,,,240,300,,,,,,,,,,,,,
GC4366C120,GC4366C,,,AIR|SHIELD Q-Bag LRG : 240mm x 420mm | Grade 120um,,AIR|SHIELD™,Manual,120,Active,0.092,,0.168,,,,,,240,420,,,,,,,,,,,,,
GC4666U150,GC4446,,,AIR|SHIELD Candle Ring | Grade: 150um Application: Candles ,,AIR|SHIELD™,Manual,150,Active,0.2,,,,,500,36,,,,,,,,,52,40,20,18,19,,,
,GC4533C150,,,AIR|SHIELD Curve Door | 200m rolls,,AIR|SHIELD™,Auto,150,Active,0.86,,1.5067,,,70*,,,,200,,,,,,27,27,50,15.2,16,,,
